Character_Name,Character_dialogue,num_palabras,sentimiento
Councillor Hamann," No, no point. Old men like me don’t bother with making points. There’s no point.",15,-0.6705
Neo, Is that why there are no young men on the Council?,11,-0.296
Councillor Hamann, Good point.,2,0.4404
Neo," Why don’t you tell me what’s on your mind, Councillor?",10,0.0
Councillor Hamann," There is so much in this world that I do not understand. See that machine? It has something to do with recycling our water supply. I have absolutely no idea how it works. But I do understand the reason for it to work. I have absolutely no idea how you are able to do some of the things you do, but I believe there’s a reason for that as well. I only hope we understand that reason before it’s too late.",81,0.3641
Trinity, Ballard.,1,0.0
Ballard, Is he here? Neo. It’s from the Oracle.,8,0.0
Neo, It’s time to go.,4,0.0
Link," Morpheus said this is how it’s gonna happen. I don’t know. Maybe the prophecy is true, maybe it’s not. All I know, is that ship needs an operator. Right now that operator’s me.",33,0.4215
Zee, I know.,2,0.0
Link, Zee…,1,0.0
Zee, I want you to wear it.,6,0.0772
Link, You know I don’t believe in this stuff.,8,0.0
Zee, But I do. It’s always brought me luck. Maybe it’ll bring me you.,13,0.6124
Link," I’m coming back. I promise. No matter what it takes, I’m coming home.",13,0.0516
Zee," Just keep it with you, please? For me.",8,0.3182
Link, Okay.,1,0.2263
Kid, Neo!,1,0.0
Link, Who the hell? Bane?,4,-0.7149
Neo, Is something wrong?,3,-0.4767
Bane/Smith," No, I’m fine. I just wanted to catch you to say good luck.",13,0.6705
Neo, Thanks.,1,0.4404
Bane/Smith, We’ll see you.,3,0.0
Kid," Neo! Just in time. You’re gonna see the Oracle, aren’t you?",11,0.0
Morpheus, We don’t have time.,4,0.0
Kid," I’m sorry, sir, I just have to give something to Neo. A gift from one of the orphans. He made me swear to get it to you before you left. He said you’d understand.",34,0.34
Neo, Thanks.,1,0.4404
Lock, I was just told you cleared the Nebuchadnezzar for takeoff.,10,0.1027
Councillor Hamann, That is correct.,3,0.0
Lock," Councillor, am I still in charge of our defense system?",10,0.128
Councillor Hamann, Of course.,2,0.0
Lock, I believe I need every ship we have if we’re going to survive this attack!,15,-0.6016
Councillor Hamann," I understand that, Commander.",4,0.0
Lock, Then why did you allow the Nebuchadnezzar to leave?,9,0.1779
Councillor Hamann, Because I believe our survival depends on more than how many ships we have.,14,0.0
Trinity, Be careful.,2,0.1531
Neo, Hello.,1,0.0
Seraph, You seek the Oracle.,4,0.0
Neo, Who are you?,3,0.0
Seraph," I am Seraph. I can take you to her. But first, I must apologize.",14,0.1531
Neo, Apologize for what?,3,0.1027
Seraph, For this.,2,0.0
Seraph, Good. The Oracle has made enemies. I had to be sure.,11,0.25
Neo, Of what?,2,0.0
Seraph, That you are The One.,5,0.0
Neo, You could’ve just asked.,4,0.0
Seraph," No. You do not truly know someone until you fight them. Come, she’s waiting.",14,-0.7356
Link, Where the hell’d they go?,5,0.0
Neo," These are back doors, aren’t they? Programmer access.",8,0.0
Seraph, [nods],1,0.0
Neo, How do they work?,4,0.0
Seraph, The code is hidden in tumblers. One position opens a lock. Another position opens one of these doors.,18,0.0
Neo, Are you a programmer?,4,0.0
Seraph, [shakes head],2,0.0
Neo, Then what are you?,4,0.0
Seraph, I protect that which matters most.,6,0.4019
The Oracle," Well, come on. I ain’t gonna bite ya. Come around here, and let me have a look at ya. My goodness, look at you! You turned out all right, didn’t you? How do you feel?",35,0.6958
Neo," I, uh…",2,0.0
The Oracle, I know you’re not sleeping. We’ll get to that. Why don’t you come and have a sit this time?,19,0.0
Neo, Maybe I’ll stand.,3,0.0
The Oracle," Well, suit yourself.",3,0.2732
Neo, I felt like sitting.,4,0.3612
The Oracle, I know. So. Let’s get the obvious stuff out of the way.,12,0.0
Neo," You’re not human, are you?",5,0.0
The Oracle, Well it’s tough to get any more obvious than that.,10,0.1531
Neo," If I had to guess, I’d say you’re a program from the machine world. So is he.",17,0.0
The Oracle," So far, so good.",4,0.6213
Neo," But if that’s true, that can mean you are a part of this system, another kind of control.",18,0.5719
The Oracle, Keep going.,2,0.0
Neo," I suppose the most obvious question is, how can I trust you?",12,0.5106
The Oracle," Bingo! It is a pickle, no doubt about it. The bad news is there’s no way if you can really know whether I’m here to help you or not. So it’s really up to you. You just have to make up your own damn mind to either accept what I’m going to tell you, or reject it. Candy?",58,-0.8687
Neo, D’you already know if I’m going to take it?,9,0.0
The Oracle, Wouldn’t be much of an Oracle if I didn’t.,9,0.0
Neo," But if you already know, how can I make a choice?",11,0.0
The Oracle," Because you didn’t come here to make the choice, you’ve already made it. You’re here to try to understand why you made it. I thought you’d have figured that out by now.",32,0.0
Neo, Why are you here?,4,0.0
The Oracle, Same reason. I love candy.,5,0.6369
Neo, But why help us?,4,0.5499
The Oracle," We’re all here to do what we’re all here to do. I’m interested in one thing, Neo, the future. And believe me, I know – the only way to get there is together.",33,0.4019
Neo, Are there other programs like you?,6,0.3612
The Oracle," Oh, well, not like me. But… Look, see those birds? At some point a program was written to govern them. A program was written to watch over the trees, and the wind, the sunrise, and sunset. There are programs running all over the place. The ones doing their job, doing what they were meant to do, are invisible. You’d never even know they were here. But the other ones, well, we hear about them all the time.",77,0.3909
Neo, I’ve never heard of them.,5,0.0
The Oracle," Of course you have. Every time you’ve heard someone say they saw a ghost, or an angel. Every story you’ve ever heard about vampires, werewolves, or aliens is the system assimilating some program that’s doing something they’re not supposed to be doing.",42,-0.3182
Neo, Programs hacking programs. Why?,4,0.0
The Oracle," They have their reasons, but usually a program chooses exile when it faces deletion.",14,0.0
Neo, And why would a program be deleted?,7,0.0
The Oracle," Maybe it breaks down. Maybe a better program is created to replace it – happens all the time, and when it does, a program can either choose to hide here, or return to The Source.",35,0.4939
Neo, The machine mainframe?,3,0.0
The Oracle," Yes. Where you must go. Where the path of The One ends. You’ve seen it, in your dreams, haven’t you? The door made of light?",25,0.6966
Neo, [nods],1,0.0
The Oracle, What happens when you go through the door?,8,0.0
Neo," I see Trinity, and something happens, something bad. She starts to fall, and then I wake up.",17,-0.5423
The Oracle, Do you see her die?,5,-0.5994
Neo, No.,1,-0.296
The Oracle," You have the sight now, Neo. You are looking at the world without time.",14,0.0
Neo, Then why can’t I see what happens to her?,9,0.0
The Oracle, We can never see past the choices we don’t understand.,10,0.0
Neo, Are you saying I have to choose whether Trinity lives or dies?,12,0.0
The Oracle," No. You’ve already made the choice, now you have to understand it.",12,-0.296
Neo," No, I can’t do that. I won’t.",7,-0.296
The Oracle, You have to.,3,0.0
Neo, Why?,1,0.0
The Oracle, Because you’re The One.,4,0.0
Neo, What if I can’t? What happens if I fail?,9,-0.594
The Oracle," Then Zion will fall. Our time is up. Listen to me, Neo. You can save Zion if you reach The Source, but to do that you will need the Keymaker.",30,0.2846
Neo, The Keymaker?,2,0.0
The Oracle," Yes, he disappeared some time ago. We did not know what happened to him until now. He’s being held prisoner by a very dangerous program, one of the oldest of us. He is called the Merovingian, and he will not let him go willingly.",44,-0.7264
Neo, What does he want?,4,0.0772
The Oracle, What do all men with power want? More power.,9,0.0772
The Oracle," Be there, at that exact time, and you will have a chance.",12,0.25
Seraph, We must go.,3,0.0
The Oracle," Seems like every time we meet I’ve got nothing but bad news. I’m sorry about that, I surely am. But for what it’s worth, you’ve made a believer out of me. Good luck, kiddo.",34,0.9591
Smith, Mister Anderson! Did you get my package?,7,0.0
Neo, Yeah.,1,0.296
Smith," Well, good.",2,0.6124
Morpheus, Smith.,1,0.0
Link," Whoever it is, he’s not reading like an agent.",9,-0.2755
Smith, Surprised to see me?,4,0.2263
Neo, No.,1,-0.296
Smith, Then you’re aware of it.,5,0.0
Neo, Of what?,2,0.0
Smith," Our connection. I don’t fully understand how it happened. Perhaps some part of you imprinted onto me, something overwritten or copied. That is at this point irrelevant, what matters is that whatever happened, happened for a reason.",37,0.0258
Neo, And what reason is that?,5,0.0
Smith," I killed you, Mister Anderson, I watched you die… With a certain satisfaction, I might add, and then something happened. Something that I knew was impossible, but it happened anyway. You destroyed me, Mister Anderson. Afterward, I knew the rules, I understood what I was supposed to do but I didn’t. I couldn’t. I was compelled to stay, compelled to disobey. And now here I stand because of you, Mister Anderson, because of you I’m no longer an agent of the system, because of you I’ve changed – I’m unplugged – a new man, so to speak, like you, apparently free.",101,0.3282
Neo, Congratulations.,1,0.5994
Smith," Thank you. But as you well know, appearances can be deceiving, which brings me back to the reason why we’re here. We’re not here because we’re free, we’re here because we’re not free. There’s no escaping reason, no denying purpose – because as we both know, without purpose, we would not exist.",52,0.9014
Smith 2," It is purpose that created us,",6,0.25
Smith 3," Purpose that connects us,",4,0.0
Smith 4," Purpose that pulls us,",4,0.0
Smith 5," That guides us,",3,0.0
Smith 6," That drives us,",3,0.0
Smith 7," It is purpose that defines,",5,0.0
Smith 8, Purpose that binds us.,4,0.0
Smith," We’re here because of you, Mister Anderson, we’re here to take from you what you tried to take from us. Purpose.",21,0.0
Trinity, What’s happening to him?,4,0.0
Link, I don’t know.,3,0.0
Smith," Yes, that’s it, it’ll be over soon.",7,0.4019
Agent Jackson, You.,1,0.0
Smith," Yes me. Me, me, me!",5,0.4574
Agent Jackson/Smith, Me too!,2,0.0
Smith, More.,1,0.0
Smiths, It is inevitable.,3,0.0
Trinity," Come on, get out of there.",6,0.0
Trinity, Are you all right?,4,0.0
Morpheus, It was Smith.,3,0.0
Neo, Yes.,1,0.4019
Morpheus, Now there’s more than one of him.,7,0.0
Neo, A lot more.,3,0.0
Link, How’s that possible?,3,0.0
Neo, I don’t know – somehow he’s found a way to copy himself.,12,0.0
Morpheus, Is that what he was doing to you?,8,0.0
Neo," I don’t know what he was doing, but I know what it felt like.",14,0.5023
Trinity, What?,1,0.0
Neo, Felt like I was back in that hallway. Felt like dying.,11,0.6124
Lock," The machines are tunnelling to avoid our defense system. But I believe that they’re going to intersect certain pipelines in order to control them. These points of intersection are crucial because I believe they’re vulnerable to counterattack. Although it has been suggested that this is the same kind of attack we have defended for years, I urge the Council to realize the truth",63,-0.3998
Councillor Dillard," Commander Lock, the Council is well aware of the seriousness of this attack. You have our leave to prepare our defense by any and all means necessary.",27,-0.2263
Lock," Thank you, Councillor",3,0.3612
Councillor Dillard," However, we ask if there’s been word from the Nebuchadnezzar.",10,0.0
Lock," No, Councillor, no word – nothing.",6,-0.5267
Councillor West, Then we request a ship be dispatched to ascertain the fate of The One.,14,0.0
Lock," I wish that were possible, Councillor, but I do not believe our defense can suffer the loss of another ship.",20,-0.8129
Councillor West," It will, Commander, if it must.",6,0.0
Lock, It could take a single ship days to find the Nebuchadnezzar.,11,0.0
Councillor Dillard, Then send two.,3,0.0
Lock, This is insane.,3,-0.4019
Councilor Hamann," Careful, Commander.",2,0.1531
Lock," Forgive my frustration, Councillors. I wish I were able to comprehend the Council’s choice in this matter.",17,0.2083
Councillor West, Comprehension is not a requisite of cooperation.,7,0.0
Lock, You’re asking me to order two of my captains…,9,0.0
Councillor Dillard," There’s no need for such an order, the Captains are present – they can answer for themselves. The Council is calling for two volunteers to aid the Nebuchadnezzar. Are there two among you that would answer such a call?",39,-0.296
Soren, Captain Soren of the Vigilant will answer the Council’s call.,10,0.1779
Councillor Dillard," You understand the situation, Captain Soren?",6,0.0
Soren," Yes, ma’am.",2,0.4019
Councillor Dillard," Thank you, Captain. Is there another?",6,0.3612
Bane/Smith," Captain, I think we should volunteer.",6,0.0
Malachi, What? You have gone crazy?,5,-0.4137
Ballard," Shut your hole, Bane, before I put you in one.",10,0.0
Councillor Dillard, Is there no other?,4,-0.296
Lock, Be hard for any man to risk his life. Especially if he doesn’t understand the reason.,16,-0.3612
Niobe, Captain Niobe of the Logos will answer the Councillor’s call.,10,0.0
Lock, What?,1,0.0
Councillor Dillard," Thank you, Captain Niobe. Commander Lock, you have your orders. This Council is hereby adjourned.",15,0.3612
Lock," Niobe, what are you doing?",5,0.0
Niobe, What I can.,3,0.0
Lock, Why?,1,0.0
Niobe," Because some things never change, Jason, and some things do.",10,0.0
Morpheus," What can you see, Neo?",5,0.0
Neo," It’s strange, the code is somehow different.",7,-0.2023
Morpheus, Encrypted?,1,0.0
Neo, Maybe.,1,0.0
Trinity, Is that good for us or bad for us?,9,-0.1531
Neo," Well, it looks like every floor is wired with explosives.",10,0.5574
Trinity, Bad for us.,3,-0.5423
Morpheus, Here we go.,3,0.0
Maitre d’, Puis-je vous aider?,3,0.0
Morpheus," Yes, we are here to speak with the Merovingian.",9,0.4019
Maitre d’," Of course, he has been expecting you. Follow me.",9,0.0
Merovingian," Aha, here he is at last. Neo, the One himself, right? And the legendary Morpheus. And Trinity of course, si belle qu’elle me fait souffrir. I have heard so much, you honour me. Please, sit, join us. This is my wife, Persephone. Something to eat? Drink? Hmm… of course, such things are contrivances like so much here. For the sake of appearances.",62,0.8886
Neo," No, thank you.",3,0.0772
